"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000363565853895,0.00884249717439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus",0.0,0.0,0.0,0.0054981418317,0.0,0.0179857765543,0.0,0.0,0.0,0.000412041301081,0.0,0.00370272414705,0.0,0.0,0.00236317232253,0.000311586213508,0.0,0.0,0.0,0.0070022325959,0.0,0.0,0.0,0.0,0.00142198066106,0.0,0.000467374652715,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00107438538836,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc",0.0,0.0,0.000149370775608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus",0.0,0.0,0.000224056163412,0.0,0.0,0.0,0.0,0.000190294957184,0.0,0.000169664065151,0.0,0.000132240148109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000406559154357,0.0,0.0,0.0,0.000221196991721,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus",0.00664629658541,0.00243283266342,0.010269240823,0.00318179504149,0.00393066967739,0.001972929571,0.000722724987431,0.0069774817634,0.00846604056077,0.00232682146493,0.0142942623496,0.00299744335714,0.000187593796898,0.000163580448865,0.00831836657529,0.0,0.0,0.00371032018689,0.0,0.0,0.000271039436238,0.000449387709246,0.00312878482035,0.0,0.000821588826392,0.000921115655282,0.0073741334095,0.000297699594046
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter",0.00196266476348,0.00194626613074,0.0,0.00341088428448,0.000815404879885,0.000596467079605,0.0,0.000222010783381,0.000136109976861,0.00155121430995,0.0205106043481,0.0,0.000312656328164,0.0,0.0,0.0,0.0,0.0,0.000999061487693,0.0,0.0,0.00252780586451,0.0,0.000269287733944,0.0,0.0,0.000363513618778,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other",0.000178424069407,0.000211550666385,0.00018671346951,0.0,2.09078174329e-05,0.0,0.0,6.34316523945e-05,0.000408329930584,0.0,0.000132969882322,0.000132240148109,0.0,0.000588889615913,0.0,0.0,0.0,4.58064220604e-05,3.02745905362e-05,0.0,0.0,0.0,0.0,0.0,6.31991404917e-05,3.68446262113e-05,5.19305169683e-05,2.70635994587e-05
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__",0.0215001003635,0.0616035540512,0.000224056163412,0.0357633762664,0.000334525078927,0.0276668960771,0.0039592760181,0.0294957183635,0.0300258608956,0.000557467642639,0.00495312811648,0.0154280172794,0.0148615974654,0.0210037296342,0.0,0.0480082450506,0.012426058994,0.0110851541386,0.0844963821864,0.0012177795819,0.00779238379184,0.00134816312774,0.0192268873637,0.000538575467887,0.0177905580484,0.00799528388784,0.0502427751668,0.0354803788904
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__",0.0,0.0342500528877,0.000149370775608,0.0018327139439,0.0,0.000871759577885,0.0,0.0,0.0,0.0,0.0,0.000220400246848,0.000604468901117,0.0,0.0,0.00565648818369,0.000476398427885,0.000274838532362,0.00257334019557,0.0,0.0,0.0,0.00025232135648,0.0,0.000284396132213,0.0,0.00173967231844,0.0
