"","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control"
"Unassigned;Other;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000155096470004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000406559154357,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__copri",0.0,0.0,0.0321223468035,0.000456794822992,0.0,0.0514812404208,0.000137419266181,0.136071219702,0.0,0.0,0.0,0.233816785752,0.0,0.246916929241,0.0,0.0,0.213212108472,0.0,0.0,0.0,0.552141720296,0.0220678381692,0.000186601977981,0.509590853255,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__stercorea",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0237016103231,0.0,0.0,0.0,0.0,0.00995900777801,0.0,0.0,0.0,0.0,0.0,0.0,0.0246936911399,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__",0.00051431510372,0.00675124887653,0.00856175189852,0.00723258469737,0.0,0.00554284154612,0.0028858045898,0.0111443238677,0.000188175078093,0.0120898500951,0.00523560209424,0.0,0.00615980288631,0.0,0.0105453703509,0.00809054334851,0.00102480554972,0.0180532291085,0.00785941824638,0.128589887875,0.00134938758563,0.0339190845934,0.0251539466318,0.00286623200731,0.0,0.00843610245291,0.0112129046763,0.00670835231273,0.0974916506786,0.0120334800417
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__",0.0,0.0,0.0,0.0,0.0,0.0041781267715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000154737167868,0.000105108261509,0.0,0.0,0.0,0.0,0.0,0.0,0.00639390217015,0.0,0.0,0.00174235611511,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__;s__",0.0,0.0,0.0,0.00414921964218,0.0,0.0,0.00164903119417,0.0,0.0,0.0,0.0,0.0,0.00228792678634,0.0,0.00214696162832,0.0,0.0,0.00390843104411,0.0,0.0,0.000726593315341,0.00140761930709,0.0,0.000125988220101,0.0,0.000304919365768,0.0033160971223,0.000828191643546,0.00679788720718,0.00188261632788
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas;s__",0.0,0.000501640783396,0.0,0.000532927293491,0.0,0.00149068844611,0.000458064220604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000294681007809,0.0019010566338,0.0,0.00210931199206,0.0,0.0,0.0,0.00149843345593,0.0,0.000913414595735,0.0,0.000474319013416,0.0,0.000289867075241,0.00348184466709,0.000610578268502
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__",0.0,0.000982379867483,0.000105181227255,0.000647125999239,0.0,0.000440907850259,0.000137419266181,0.000649814802781,0.0,0.0,0.0,0.0,0.000527983104541,0.0,0.000631459302448,0.0,0.0,0.0,0.000313332288892,0.00621066233171,0.000311397135146,0.00118058393498,0.0,0.000157485275127,0.00804474891584,0.000542078872476,0.00348471223022,0.000372686239596,0.00566095833629,0.000279848373063
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__;s__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000818923430659,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella;s__",0.0,0.0,0.0,0.000266463646745,0.0,0.00195259190829,0.0,0.0,0.0,0.0,0.0,0.0,0.0026399155227,0.0,0.000378875581469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000850420485685,0.0,0.0,0.0,0.0,0.0,0.00536800061058
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__",0.0,0.0,0.00555356879904,0.000647125999239,0.0,0.0,0.00109935412945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157662392264,0.0,0.0,0.0,0.0,0.0,0.0,0.0191502094554,0.0,0.0,0.0,0.0,0.0,0.0
