"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae",0.00923344559181,0.00410408292786,0.0240860375668,0.00990174616912,0.00873946768697,0.0105987611838,0.0126633986928,0.00482080558199,0.00427385327344,0.00540501236124,0.0117678345855,0.00850744952834,0.00787893946973,0.0417784466401,0.0531556227747,0.00671108767557,0.016594545238,0.00316064312217,0.00181647543217,0.0343515323726,0.0222929936306,0.00780811144815,0.0488494146145,0.00821327588528,0.00619351576819,0.00508455841715,0.0261470152935,0.00736129905277
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]",0.000468363182193,0.00114237359848,0.000373426939019,0.00150180725958,0.0,0.00555173204864,0.0,0.000951474785918,0.00141554375936,0.000872558049348,0.0,0.000528960592436,0.00168834417209,0.0,0.0,0.00234888068645,0.0,0.000183225688241,0.002088946747,0.000152222447737,0.0,0.0,0.0,0.0,0.00126398280983,0.0,0.00150598499208,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Tissierellaceae]",0.0,0.000126930399831,0.0,0.0,0.0,0.0,0.000251382604324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000338799295297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98;f__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000335554383778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000233687326357,0.0
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae",0.0104155050516,0.0260207319653,0.001904477389,0.0227052894161,0.0112065901441,0.0418903418215,0.0199220713927,0.0542657786235,0.0273036613584,0.022807697901,0.0198457549365,0.00220400246848,0.0540687010172,0.00114506314205,0.000976777893311,0.00704664205935,0.00242169200842,0.00109935412945,0.0110199509552,0.000913334686422,0.00548854858382,0.0384226491405,0.0273011707711,0.0199946142453,0.0331795487581,0.00305810397554,0.00488146859502,0.00192151556157
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0888867882913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000740541268345,0.0,0.0,0.0,0.0
"k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00650951147064,0.000368446262113,0.0,0.0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__",0.0,0.00266553839645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000599204256747,0.0,0.0,0.000151372952681,0.0,0.0,0.0,0.0314897052887,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae",0.0062894484466,0.00279246879628,0.0057881175548,0.00468360230107,0.00899036149616,0.00289057123193,0.0054361488185,0.00735807167777,0.00604328297264,0.0101071307383,0.00349045941094,0.00304152340651,0.00327246956812,0.0110580383433,0.0092636355043,0.00527299745937,0.0,0.00696257615318,0.0172262420151,0.0391211690684,0.0536658083751,0.0624087181216,0.0224566007267,0.0262555540595,0.0175061619162,0.00357392874249,0.00843870900735,0.029201623816
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000151392813888,0.0,0.0,0.0,0.0,0.0
