"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas;s__",0.0,0.000232705733023,0.000373426939019,0.000458178485975,0.0,0.000229410415233,0.0,0.000158579130986,0.0,0.0,0.0,0.0,0.0,0.00127592750115,0.0,0.00170174008916,0.0,0.00316064312217,0.00112015984984,0.0,0.0,0.0,0.00363342753331,0.0,0.00205397206598,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__",0.00107054441644,0.000253860799662,0.0,0.00012727180166,0.000376340713793,0.00146822665749,0.0,0.000729464002537,0.00111610181026,0.00096950894372,0.000132969882322,0.0,0.000646156411539,0.000523457436367,0.0,0.00160586740808,0.0,0.00114516055151,0.00190729920378,0.00756038157094,0.00453991055699,0.00185372430064,0.000656035526847,0.00531843274539,0.00385514756999,0.000147378504845,0.00394671928959,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__;s__",0.0,0.0,0.0,0.0,0.0,0.000596467079605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000821588826392,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella;s__",0.0,0.0,0.0,0.0,0.0,0.00119293415921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00268271936138,0.0,0.00627966061071,0.0,0.00549677064724,0.0,0.0,0.0479739802141,0.0253342321088,0.0,0.0,0.00613031662769,0.000110533878634,0.00345337937839,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__",0.0,0.0,0.0,0.0,0.0,0.0072952512044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__;s__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00495263870095
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__;s__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135519718119,0.0,0.000555106984255,0.0,0.0,0.0,0.0,0.000757780784844
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000157544821502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126035857201,0.0,0.0,0.0,0.0,0.0,0.0,0.000112346927312,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__aureus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000132969882322,0.0,0.0,0.0,0.000157544821502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other;Other;Other",0.000156121060731,0.0,0.000112028081706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000964031646832,0.0,0.0,0.0,0.0,0.0,0.0,0.000137419266181,0.0,0.0,0.0,0.0,0.000353249899071,0.0,0.0,0.0,0.000181756809389,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__;g__;s__",0.0,0.0,0.00018671346951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00232697294063,0.0,0.0,0.0,0.000157544821502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269287733944,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000363565853895,0.00884249717439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000132240148109,0.0,0.0,0.00236317232253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00343824385083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
